"Freq [GHz]","dB(S(SMA_connector_1_78mm1_1,SMA_connector_1_78mm1_1)) []"
0.1,-1.22793385274645
0.11,-1.23043887343242
0.12,-1.23300323633213
0.13,-1.23556005516483
0.14,-1.2380522619156
0.15,-1.24043180537419
0.16,-1.2426589251771
0.17,-1.24470146353931
0.18,-1.24653419031875
0.19,-1.24813813238583
0.2,-1.24949990903398
0.21,-1.25061108091205
0.22,-1.25146752190681
0.23,-1.25206882295525
0.24,-1.25241773504298
0.25,-1.25251965643036
0.26,-1.25238216692166
0.27,-1.2520146100238
0.28,-1.25142772224387
0.29,-1.2506333075759
0.3,-1.24964395439812
0.31,-1.24847279148931
0.32,-1.24713327961483
0.33,-1.2456390350696
0.34,-1.24400368164241
0.35,-1.24224072763826
0.36,-1.24036346482865
0.37,-1.23838488646448
0.38,-1.23631762176393
0.39,-1.23417388456303
0.4,-1.23196543408141
0.41,-1.22970354600241
0.42,-1.22739899229388
0.43,-1.22506202840049
0.44,-1.22270238662215
0.45,-1.22032927465479
0.46,-1.21795137841278
0.47,-1.21557686837691
0.48,-1.21321340882034
0.49,-1.21086816935898
0.5,-1.20854783835424
0.51,-1.20625863776616
0.52,-1.20400633911557
0.53,-1.20179628026563
0.54,-1.19963338277821
0.55,-1.19752216963865
0.56,-1.19546678317571
0.57,-1.19347100303173
0.58,-1.19153826406232
0.59,-1.18967167406606
0.6,-1.1878740312624
0.61,-1.18614784145144
0.62,-1.18449533480267
0.63,-1.18291848223098
0.64,-1.18141901132786
0.65,-1.17999842182445
0.66,-1.17865800056994
0.67,-1.17739883601498
0.68,-1.176221832195
0.69,-1.1751277222128
0.7,-1.17411708122349
0.71,-1.17319033892788
0.72,-1.17234779158336
0.73,-1.17158961354327
0.74,-1.17091586833768
0.75,-1.17032651931
0.76,-1.16982143982512
0.77,-1.16940042306569
0.78,-1.16906319143381
0.79,-1.16880940557632
0.8,-1.16863867305194
0.81,-1.16855055665917
0.82,-1.16854458244368
0.83,-1.16862024740458
0.84,-1.16877702691843
0.85,-1.16901438190045
0.86,-1.16933176572172
0.87,-1.16972863090184
0.88,-1.17020443559576
0.89,-1.17075864989387
0.9,-1.17139076195431
0.91,-1.17210028398614
0.92,-1.17288675810225
0.93,-1.17374976206103
0.94,-1.17468891491528
0.95,-1.1757038825875
0.96,-1.17679438339077
0.97,-1.17796019351407
0.98,-1.17920115249201
0.99,-1.18051716867849
1,-1.18190822474477
1.01,-1.18337438322251
1.02,-1.18491579211335
1.03,-1.1865326905869
1.04,-1.18822541479019
1.05,-1.18999440379213
1.06,-1.1918402056881
1.07,-1.19376348389065
1.08,-1.19576502363378
1.09,-1.19784573871978
1.1,-1.2000066785395
1.11,-1.20224903539874
1.12,-1.20457415218554
1.13,-1.20698353041594
1.14,-1.20947883869804
1.15,-1.21206192165763
1.16,-1.21473480937172
1.17,-1.21749972736023
1.18,-1.22035910719007
1.19,-1.22331559775071
1.2,-1.22637207726507
1.21,-1.2295316661058
1.22,-1.23279774049267
1.23,-1.23617394715443
1.24,-1.23966421904586
1.25,-1.24327279221972
1.26,-1.24700422396272
1.27,-1.25086341231566
1.28,-1.25485561710976
1.29,-1.25898648266444
1.3,-1.26326206230721
1.31,-1.26768884489267
1.32,-1.27227378351645
1.33,-1.27702432664103
1.34,-1.28194845187363
1.35,-1.28705470266311
1.36,-1.29235222821222
1.37,-1.29785082693494
1.38,-1.30356099382649
1.39,-1.30949397215584
1.4,-1.31566180993848
1.41,-1.32207742170157
1.42,-1.32875465611491
1.43,-1.33570837013066
1.44,-1.34295451035419
1.45,-1.35051020245804
1.46,-1.3583938495535
1.47,-1.36662524055141
1.48,-1.37522566967703
1.49,-1.38421806845664
1.5,-1.39362715166882
1.51,-1.40347957895409
1.52,-1.41380413400779
1.53,-1.4246319235472
1.54,-1.43599659855083
1.55,-1.44793460062274
1.56,-1.46048543674525
1.57,-1.47369198615998
1.58,-1.48760084367031
1.59,-1.50226270430236
1.6,-1.5177327950131
1.61,-1.53407136001095
1.62,-1.5513442072818
1.63,-1.56962332511753
1.64,-1.58898757885934
1.65,-1.60952349973442
1.66,-1.63132617962984
1.67,-1.65450028797084
1.68,-1.67916122962162
1.69,-1.70543646599236
1.7,-1.73346702541776
1.71,-1.76340923349856
1.72,-1.795436699619
1.73,-1.82974260245869
1.74,-1.86654232523351
1.75,-1.9060765009066
1.76,-1.94861453904773
1.77,-1.99445871980597
1.78,-2.04394895711048
1.79,-2.09746835335861
1.8,-2.15544969226898
1.81,-2.21838304623134
1.82,-2.28682471056684
1.83,-2.36140772110624
1.84,-2.44285426525322
1.85,-2.53199036256472
1.86,-2.62976327182351
1.87,-2.73726218143335
1.88,-2.85574286376133
1.89,-2.98665712850687
1.9,-3.13168810451441
1.91,-3.29279262665297
1.92,-3.47225232326888
1.93,-3.67273541823843
1.94,-3.89737182229812
1.95,-4.14984485673232
1.96,-4.43450403074818
1.97,-4.7565048403093
1.98,-5.12198381181363
1.99,-5.53828032900716
2,-6.01422161251229
2.01,-6.56049399390111
2.02,-7.19013211705876
2.03,-7.91916480690689
2.04,-8.76744846399962
2.05,-9.75964567781199
2.06,-10.9259886121139
2.07,-12.3012539720765
2.08,-13.9158852799745
2.09,-15.7571914920502
2.1,-17.6341904613367
2.11,-18.8990473158954
2.12,-18.6854307410877
2.13,-17.2107526038234
2.14,-15.3888036567979
2.15,-13.6954459936614
2.16,-12.24002966119
2.17,-11.0133179635469
2.18,-9.98137649175807
2.19,-9.11057050643206
2.2,-8.37270568440776
2.21,-7.74512997242413
2.22,-7.20978817494226
2.23,-6.75224341558268
2.24,-6.36087866934711
2.25,-6.02628524869878
2.26,-5.74080157164696
2.27,-5.49816453633742
2.28,-5.29324377281284
2.29,-5.12183704391632
2.3,-4.98051127432616
2.31,-4.8664781323443
2.32,-4.77749619011154
2.33,-4.71179384200565
2.34,-4.66800866615598
2.35,-4.64513997556667
2.36,-4.642512059272
2.37,-4.65974614808809
2.38,-4.69673950871062
2.39,-4.75365030564527
2.4,-4.83088698636016
2.41,-4.92910093888925
2.42,-5.04918102391636
2.43,-5.19224825529311
2.44,-5.3596483251317
2.45,-5.55293873032371
2.46,-5.77386577989171
2.47,-6.02432447201594
2.48,-6.30629070571245
2.49,-6.62170991283594
2.5,-6.97231809547474
2.51,-7.35935938134103
2.52,-7.78314773465476
2.53,-8.24240013905314
2.54,-8.73325045572842
2.55,-9.24785715980119
2.56,-9.77259395787313
2.57,-10.2860572047841
2.58,-10.7576628572192
2.59,-11.1484178811508
2.6,-11.4159341056092
2.61,-11.5244524490844
2.62,-11.4566840875251
2.63,-11.2205459854151
2.64,-10.8458974669173
2.65,-10.3737254044044
2.66,-9.84482138581486
2.67,-9.29285259228367
2.68,-8.74225424590443
2.69,-8.20905789797468
2.7,-7.70279272688894
2.71,-7.22840591838525
2.72,-6.7878093477995
2.73,-6.38100009225971
2.74,-6.00682636874496
2.75,-5.66349287053226
2.76,-5.34888592569975
2.77,-5.06077809041405
2.78,-4.79695354016696
2.79,-4.55528202586605
2.8,-4.3337597291681
2.81,-4.13052902958856
2.82,-3.94388502752139
2.83,-3.77227393655422
2.84,-3.61428667141589
2.85,-3.46864978643779
2.86,-3.33421514944245
2.87,-3.20994922869347
2.88,-3.09492253598312
2.89,-2.98829954855459
2.9,-2.88932928803503
2.91,-2.79733664063444
2.92,-2.71171444277299
2.93,-2.63191631883213
2.94,-2.55745023534684
2.95,-2.48787272358602
2.96,-2.42278371666115
2.97,-2.3618219457285
2.98,-2.30466084092955
2.99,-2.25100488538408
3,-2.2005863741008
3.01,-2.15316253363043
3.02,-2.10851296235313
3.03,-2.06643735527239
3.04,-2.02675348096855
3.05,-1.98929538188015
3.06,-1.95391177230441
3.07,-1.9204646114288
3.08,-1.88882783133304
3.09,-1.85888620224945
3.1,-1.83053431945877
3.11,-1.80367569805083
3.12,-1.77822196341838
3.13,-1.75409212679736
3.14,-1.73121193644176
3.15,-1.70951329614352
3.16,-1.68893374379537
3.17,-1.66941598356431
3.18,-1.6509074660085
3.19,-1.63336001114473
3.2,-1.61672947006774
3.21,-1.60097542124743
3.22,-1.58606089809364
3.23,-1.57195214478873
3.24,-1.55861839775306
3.25,-1.54603169043324
3.26,-1.5341666793927
3.27,-1.52300048994526
3.28,-1.51251257980671
3.29,-1.50268461945301
3.3,-1.49350038806872
3.31,-1.48494568414926
3.32,-1.47700824998826
3.33,-1.46967770943957
3.34,-1.46294551849468
3.35,-1.45680492836274
3.36,-1.45125096088507
3.37,-1.44628039626045
3.38,-1.44189177320475
3.39,-1.43808540182124
3.4,-1.43486338961813
3.41,-1.43222968128152
3.42,-1.43019011299787
3.43,-1.42875248232342
3.44,-1.4279266348243
3.45,-1.42772456896391
3.46,-1.42816056099929
3.47,-1.42925131197332
3.48,-1.43101611925983
3.49,-1.43347707554606
3.5,-1.43665929862884
3.51,-1.44059119597184
3.52,-1.44530476863503
3.53,-1.45083595996197
3.54,-1.45722505531562
3.55,-1.464517140215
3.56,-1.47276262547204
3.57,-1.48201784939474
3.58,-1.49234576885305
3.59,-1.50381675304642
3.6,-1.51650949622626
3.61,-1.53051206848486
3.62,-1.54592312710848
3.63,-1.56285331500509
3.64,-1.58142687747811
3.65,-1.60178353426078
3.66,-1.62408065041697
3.67,-1.64849575763742
3.68,-1.67522948682846
3.69,-1.7045089839409
3.7,-1.73659189397755
3.71,-1.77177101331574
3.72,-1.81037972814978
3.73,-1.85279837721731
3.74,-1.89946170015161
3.75,-1.95086755875438
3.76,-2.00758714685761
3.77,-2.07027693438601
3.78,-2.13969262109585
3.79,-2.21670540238932
3.8,-2.30232086887757
3.81,-2.39770086558749
3.82,-2.50418861454221
3.83,-2.62333733896782
3.84,-2.75694249380694
3.85,-2.90707746983418
3.86,-3.07613224662386
3.87,-3.26685385094169
3.88,-3.48238652952279
3.89,-3.72630812046448
3.9,-4.00265698266679
3.91,-4.31594066360871
3.92,-4.67111265382704
3.93,-5.07349602852093
3.94,-5.52862057349018
3.95,-6.04191961735221
3.96,-6.618198150611
3.97,-7.26072546675177
3.98,-7.96971278591718
3.99,-8.73981110795525
4,-9.55617363730239
4.01,-10.3888456752847
4.02,-11.1865074926186
4.03,-11.873991026785
4.04,-12.3626204221337
4.05,-12.5800223157108
4.06,-12.5062142929622
4.07,-12.1839984971362
4.08,-11.6927203694227
4.09,-11.1120767699012
4.1,-10.5018882370549
4.11,-9.89936491755308
4.12,-9.32430723707994
4.13,-8.78529388632938
4.14,-8.28440301477063
4.15,-7.82027261113144
4.16,-7.38993555816651
4.17,-6.98987249641661
4.18,-6.61659494040956
4.19,-6.2669525011014
4.2,-5.93827780221588
4.21,-5.62843405832586
4.22,-5.33580257670782
4.23,-5.05923242151272
4.24,-4.79796674645296
4.25,-4.5515564868341
4.26,-4.31977012561753
4.27,-4.10250688108694
4.28,-3.89971926297849
4.29,-3.71134928495799
4.3,-3.53728075766963
4.31,-3.37730822009978
4.32,-3.23112143318657
4.33,-3.09830314290815
4.34,-2.97833710929494
4.35,-2.87062318077427
4.36,-2.77449638022523
4.37,-2.6892474294223
4.38,-2.61414273639287
4.39,-2.54844249064097
4.4,-2.49141607312418
4.41,-2.44235444585294
4.42,-2.40057952453568
4.43,-2.36545076239088
4.44,-2.33636930171111
4.45,-2.31278010435342
4.46,-2.29417247516765
4.47,-2.28007936254981
4.48,-2.27007577275457
4.49,-2.26377658005221
4.5,-2.26083396036166
